time,pred,entry,exit,result,pnl,cum_pnl
2025-07-15 01:05:00,BUY,3348.302,3348.802,TP,0.5,-716.5
2025-07-15 01:10:00,BUY,3348.727,3349.227,TP,0.5,-716.0
2025-07-15 01:15:00,BUY,3349.482,3348.482,SL,-1.0,-717.0
2025-07-15 01:20:00,BUY,3348.662,3349.162,TP,0.5,-716.5
2025-07-15 01:25:00,BUY,3348.436,3348.936,TP,0.5,-716.0
2025-07-15 01:30:00,BUY,3349.472,3349.972,TP,0.5,-715.5
2025-07-15 01:35:00,BUY,3349.431,3348.431,SL,-1.0,-716.5
2025-07-15 01:40:00,BUY,3346.857,3347.357,TP,0.5,-716.0
2025-07-15 01:45:00,BUY,3347.626,3346.626,SL,-1.0,-717.0
2025-07-15 01:50:00,BUY,3346.73,3347.23,TP,0.5,-716.5
2025-07-15 01:55:00,SELL,3346.585,3347.585,SL,-1.0,-717.5
2025-07-15 02:00:00,BUY,3347.486,3346.486,SL,-1.0,-718.5
2025-07-15 02:05:00,BUY,3348.847,3349.347,TP,0.5,-718.0
2025-07-15 02:10:00,BUY,3349.745,3350.245,TP,0.5,-717.5
2025-07-15 02:15:00,BUY,3350.53,3351.03,TP,0.5,-717.0
2025-07-15 02:20:00,BUY,3350.979,3349.979,SL,-1.0,-718.0
2025-07-15 02:25:00,SELL,3350.147,3349.647,TP,0.5,-717.5
2025-07-15 02:30:00,SELL,3348.91,3349.91,SL,-1.0,-718.5
2025-07-15 02:35:00,SELL,3349.723,3349.223,TP,0.5,-718.0
2025-07-15 02:40:00,SELL,3349.209,3348.709,TP,0.5,-717.5
2025-07-15 02:45:00,SELL,3348.889,3348.389,TP,0.5,-717.0
2025-07-15 02:50:00,SELL,3348.886,3349.886,SL,-1.0,-718.0
2025-07-15 02:55:00,BUY,3350.961,3351.461,TP,0.5,-717.5
2025-07-15 03:00:00,BUY,3352.89,3353.39,TP,0.5,-717.0
2025-07-15 03:05:00,BUY,3353.928,3354.428,TP,0.5,-716.5
2025-07-15 03:10:00,BUY,3354.125,3353.125,SL,-1.0,-717.5
2025-07-15 03:15:00,BUY,3353.37,3353.87,TP,0.5,-717.0
2025-07-15 03:20:00,BUY,3355.005,3355.505,TP,0.5,-716.5
2025-07-15 03:25:00,BUY,3354.592,3355.092,TP,0.5,-716.0
2025-07-15 03:30:00,BUY,3356.151,3356.651,TP,0.5,-715.5
2025-07-15 03:35:00,BUY,3355.918,3356.418,TP,0.5,-715.0
2025-07-15 03:40:00,BUY,3357.323,3357.823,TP,0.5,-714.5
2025-07-15 03:45:00,BUY,3357.377,3357.877,TP,0.5,-714.0
2025-07-15 03:50:00,BUY,3357.902,3358.402,TP,0.5,-713.5
2025-07-15 03:55:00,BUY,3357.841,3358.341,TP,0.5,-713.0
2025-07-15 04:00:00,BUY,3357.922,3358.422,TP,0.5,-712.5
2025-07-15 04:05:00,BUY,3358.509,3359.009,TP,0.5,-712.0
2025-07-15 04:10:00,BUY,3360.89,3359.89,SL,-1.0,-713.0
2025-07-15 04:15:00,BUY,3359.654,3360.154,TP,0.5,-712.5
2025-07-15 04:20:00,BUY,3360.106,3360.606,TP,0.5,-712.0
2025-07-15 04:25:00,BUY,3360.217,3360.717,TP,0.5,-711.5
2025-07-15 04:30:00,BUY,3360.391,3360.891,TP,0.5,-711.0
2025-07-15 04:35:00,BUY,3359.9,3360.4,TP,0.5,-710.5
2025-07-15 04:40:00,BUY,3360.305,3360.805,TP,0.5,-710.0
2025-07-15 04:45:00,BUY,3360.385,3360.885,TP,0.5,-709.5
2025-07-15 04:50:00,BUY,3359.931,3360.431,TP,0.5,-709.0
2025-07-15 04:55:00,BUY,3360.241,3360.741,TP,0.5,-708.5
2025-07-15 05:00:00,BUY,3361.317,3361.817,TP,0.5,-708.0
2025-07-15 05:05:00,BUY,3362.588,3363.088,TP,0.5,-707.5
2025-07-15 05:10:00,BUY,3362.621,3363.121,TP,0.5,-707.0
2025-07-15 05:15:00,BUY,3363.009,3363.509,TP,0.5,-706.5
2025-07-15 05:20:00,BUY,3364.317,3363.317,SL,-1.0,-707.5
2025-07-15 05:25:00,BUY,3363.457,3363.957,TP,0.5,-707.0
2025-07-15 05:30:00,BUY,3364.417,3363.417,SL,-1.0,-708.0
2025-07-15 05:35:00,BUY,3364.373,3364.873,TP,0.5,-707.5
2025-07-15 05:40:00,BUY,3364.198,3364.698,TP,0.5,-707.0
2025-07-15 05:45:00,BUY,3364.076,3363.076,SL,-1.0,-708.0
2025-07-15 05:50:00,BUY,3363.644,3362.644,SL,-1.0,-709.0
2025-07-15 05:55:00,BUY,3362.237,3361.237,SL,-1.0,-710.0
2025-07-15 06:00:00,SELL,3360.19,3361.19,SL,-1.0,-711.0
2025-07-15 06:05:00,BUY,3362.224,3362.724,TP,0.5,-710.5
2025-07-15 06:10:00,BUY,3362.757,3361.757,SL,-1.0,-711.5
2025-07-15 06:15:00,SELL,3361.27,3360.77,TP,0.5,-711.0
2025-07-15 06:20:00,SELL,3359.146,3360.146,SL,-1.0,-712.0
2025-07-15 06:25:00,SELL,3359.862,3359.362,TP,0.5,-711.5
2025-07-15 06:30:00,SELL,3358.95,3359.95,SL,-1.0,-712.5
2025-07-15 06:35:00,SELL,3362.012,3361.512,TP,0.5,-712.0
2025-07-15 06:40:00,SELL,3361.609,3361.109,TP,0.5,-711.5
2025-07-15 06:45:00,SELL,3361.763,3361.263,TP,0.5,-711.0
2025-07-15 06:50:00,SELL,3359.35,3358.85,TP,0.5,-710.5
2025-07-15 06:55:00,SELL,3358.096,3359.096,SL,-1.0,-711.5
2025-07-15 07:00:00,SELL,3358.237,3359.237,SL,-1.0,-712.5
2025-07-15 07:05:00,SELL,3359.772,3359.272,TP,0.5,-712.0
2025-07-15 07:10:00,SELL,3360.509,3361.509,SL,-1.0,-713.0
2025-07-15 07:15:00,SELL,3360.475,3361.475,SL,-1.0,-714.0
2025-07-15 07:20:00,SELL,3362.396,3361.896,TP,0.5,-713.5
2025-07-15 07:25:00,SELL,3362.673,3362.173,TP,0.5,-713.0
2025-07-15 07:30:00,BUY,3362.492,3362.992,TP,0.5,-712.5
2025-07-15 07:35:00,BUY,3362.824,3363.324,TP,0.5,-712.0
2025-07-15 07:40:00,BUY,3363.571,3364.071,TP,0.5,-711.5
2025-07-15 07:45:00,BUY,3363.964,3364.464,TP,0.5,-711.0
2025-07-15 07:50:00,BUY,3364.185,3363.185,SL,-1.0,-712.0
2025-07-15 07:55:00,BUY,3364.347,3363.347,SL,-1.0,-713.0
2025-07-15 08:00:00,BUY,3363.634,3364.134,TP,0.5,-712.5
2025-07-15 08:05:00,BUY,3364.051,3364.551,TP,0.5,-712.0
2025-07-15 08:10:00,BUY,3363.318,3362.318,SL,-1.0,-713.0
2025-07-15 08:15:00,SELL,3358.935,3358.435,TP,0.5,-712.5
2025-07-15 08:20:00,SELL,3357.816,3357.316,TP,0.5,-712.0
2025-07-15 08:25:00,SELL,3357.742,3358.742,SL,-1.0,-713.0
2025-07-15 08:30:00,SELL,3361.353,3362.353,SL,-1.0,-714.0
2025-07-15 08:35:00,SELL,3362.528,3363.528,SL,-1.0,-715.0
2025-07-15 08:40:00,SELL,3362.354,3361.854,TP,0.5,-714.5
2025-07-15 08:45:00,SELL,3362.126,3363.126,SL,-1.0,-715.5
2025-07-15 08:50:00,SELL,3363.511,3363.011,TP,0.5,-715.0
2025-07-15 08:55:00,SELL,3361.025,3362.025,SL,-1.0,-716.0
2025-07-15 09:00:00,SELL,3364.354,3363.854,TP,0.5,-715.5
2025-07-15 09:05:00,SELL,3364.055,3363.555,TP,0.5,-715.0
2025-07-15 09:10:00,SELL,3363.146,3362.646,TP,0.5,-714.5
2025-07-15 09:15:00,SELL,3359.65,3360.65,SL,-1.0,-715.5
2025-07-15 09:20:00,SELL,3362.73,3362.23,TP,0.5,-715.0
